from_address,to_address,amount,timestamp,tx_hash
0x_norm_323,0x_norm_1,1.6348,1700079772,0x_tx_149
0x_norm_857,0x_norm_700,4.5098,1700015906,0x_tx_150
0x_norm_514,0x_norm_687,0.1947,1700054907,0x_tx_151
0x_norm_856,0x_norm_365,0.8719,1700002564,0x_tx_152
0x_norm_906,0x_norm_989,0.3615,1700046481,0x_tx_153
0x_norm_646,0x_norm_879,4.1036,1700082957,0x_tx_154
0x_norm_302,0x_norm_567,1.4288,1700079019,0x_tx_155
0x_norm_790,0x_norm_18,0.3146,1700071013,0x_tx_156
0x_norm_869,0x_norm_266,0.2081,1700033148,0x_tx_157
0x_norm_358,0x_norm_682,2.7468,1700014057,0x_tx_158
0x_norm_344,0x_norm_183,1.3664,1700025688,0x_tx_159
0x_norm_296,0x_norm_218,0.38,1700030076,0x_tx_160
0x_norm_22,0x_norm_440,3.7395,1700009288,0x_tx_161
0x_norm_680,0x_norm_161,2.9157,1700035727,0x_tx_162
0x_norm_333,0x_norm_669,3.9556,1700033097,0x_tx_163
0x_norm_488,0x_norm_362,3.3419,1700084980,0x_tx_164
0x_norm_97,0x_norm_785,4.1317,1700057883,0x_tx_165
0x_norm_698,0x_norm_196,1.1688,1700083981,0x_tx_166
0x_norm_609,0x_norm_106,3.4491,1700067629,0x_tx_167
0x_norm_150,0x_norm_315,4.2065,1700065722,0x_tx_168
0x_norm_849,0x_norm_236,2.2125,1700093624,0x_tx_169
0x_norm_576,0x_norm_445,3.5152,1700045423,0x_tx_170
0x_norm_297,0x_norm_176,0.4481,1700006331,0x_tx_171
0x_norm_417,0x_norm_989,0.22,1700075865,0x_tx_172
0x_norm_798,0x_norm_395,4.6168,1700051165,0x_tx_173
0x_norm_45,0x_norm_437,2.0615,1700036508,0x_tx_174
0x_norm_363,0x_norm_618,1.6784,1700015800,0x_tx_175
0x_norm_630,0x_norm_673,3.9833,1700059994,0x_tx_176
0x_norm_588,0x_norm_943,0.4205,1700072141,0x_tx_177
0x_norm_661,0x_norm_123,0.4495,1700054120,0x_tx_178
0x_norm_2,0x_norm_67,2.7481,1700010271,0x_tx_179
0x_norm_75,0x_norm_844,4.7567,1700028494,0x_tx_180
0x_norm_45,0x_norm_103,4.9144,1700019430,0x_tx_181
0x_norm_650,0x_norm_848,1.6251,1700075501,0x_tx_182
0x_norm_69,0x_norm_532,2.2141,1700056252,0x_tx_183
0x_norm_622,0x_norm_972,1.779,1700029836,0x_tx_184
0x_norm_870,0x_norm_791,1.2209,1700017722,0x_tx_185
0x_norm_454,0x_norm_340,3.4835,1700058869,0x_tx_186
0x_norm_113,0x_norm_368,4.8365,1700065455,0x_tx_187
0x_norm_303,0x_norm_914,0.8588,1700082291,0x_tx_188
0x_norm_516,0x_norm_95,1.9208,1700057042,0x_tx_189
0x_norm_889,0x_norm_119,1.8681,1700062347,0x_tx_190
0x_norm_621,0x_norm_961,2.747,1700044906,0x_tx_191
0x_norm_959,0x_norm_875,3.8282,1700071181,0x_tx_192
0x_norm_381,0x_norm_388,3.9717,1700018556,0x_tx_193
0x_norm_418,0x_norm_747,0.9105,1700022635,0x_tx_194
0x_norm_615,0x_norm_272,3.0029,1700051974,0x_tx_195
0x_norm_109,0x_norm_126,1.7063,1700014087,0x_tx_196
0x_norm_97,0x_norm_938,2.0916,1700092595,0x_tx_197
0x_norm_802,0x_norm_797,1.8352,1700084260,0x_tx_198
0x_norm_174,0x_norm_865,2.8557,1700060431,0x_tx_199
0x_norm_1,0x_norm_577,1.4645,1700062408,0x_tx_200
0x_norm_174,0x_norm_204,1.6889,1700060564,0x_tx_201
0x_norm_118,0x_norm_634,2.3985,1700074859,0x_tx_202
0x_norm_676,0x_norm_460,2.3314,1700052554,0x_tx_203
0x_norm_688,0x_norm_765,2.0302,1700021429,0x_tx_204
0x_norm_236,0x_norm_240,3.9995,1700064070,0x_tx_205
0x_norm_767,0x_norm_873,2.1598,1700091447,0x_tx_206
0x_norm_63,0x_norm_332,2.0897,1700077118,0x_tx_207
0x_norm_194,0x_norm_406,3.8366,1700058835,0x_tx_208
0x_norm_997,0x_norm_516,2.6122,1700020151,0x_tx_209
0x_norm_30,0x_norm_783,4.1097,1700015465,0x_tx_210
0x_norm_552,0x_norm_462,1.6788,1700071432,0x_tx_211
0x_norm_873,0x_norm_864,0.3066,1700028725,0x_tx_212
0x_norm_548,0x_norm_784,4.5708,1700016607,0x_tx_213
0x_norm_653,0x_norm_971,2.3732,1700046574,0x_tx_214
0x_norm_595,0x_norm_883,1.5426,1700068666,0x_tx_215
0x_norm_880,0x_norm_827,3.4089,1700016351,0x_tx_216
0x_norm_737,0x_norm_949,3.9265,1700022950,0x_tx_217
0x_norm_50,0x_norm_304,3.562,1700005355,0x_tx_218
0x_norm_612,0x_norm_5,3.671,1700018306,0x_tx_219
0x_norm_343,0x_norm_570,2.984,1700086220,0x_tx_220
0x_norm_57,0x_norm_668,4.8603,1700096900,0x_tx_221
0x_norm_82,0x_norm_199,0.3918,1700036485,0x_tx_222
0x_norm_712,0x_norm_445,1.8861,1700057758,0x_tx_223
0x_norm_745,0x_norm_799,1.0272,1700091059,0x_tx_224
0x_norm_969,0x_norm_437,0.6359,1700077939,0x_tx_225
0x_norm_414,0x_norm_364,4.6607,1700081705,0x_tx_226
0x_norm_907,0x_norm_1,0.8402,1700090861,0x_tx_227
0x_norm_466,0x_norm_960,2.7995,1700029319,0x_tx_228
0x_norm_812,0x_norm_983,3.4671,1700079524,0x_tx_229
0x_norm_971,0x_norm_656,4.8907,1700039793,0x_tx_230
0x_norm_992,0x_norm_225,3.302,1700007622,0x_tx_231
0x_norm_481,0x_norm_54,0.8756,1700011399,0x_tx_232
0x_norm_192,0x_norm_559,2.48,1700061439,0x_tx_233
0x_norm_27,0x_norm_21,3.652,1700066104,0x_tx_234
0x_norm_400,0x_norm_104,1.5523,1700090484,0x_tx_235
0x_norm_2,0x_norm_448,0.6361,1700083894,0x_tx_236
0x_norm_558,0x_norm_873,1.1872,1700073666,0x_tx_237
0x_norm_318,0x_norm_723,0.8997,1700027932,0x_tx_238
0x_norm_28,0x_norm_82,2.9494,1700024922,0x_tx_239
0x_norm_427,0x_norm_519,1.6395,1700090035,0x_tx_240
0x_norm_282,0x_norm_897,1.5208,1700095104,0x_tx_241
0x_norm_821,0x_norm_353,3.3602,1700025494,0x_tx_242
0x_norm_146,0x_norm_228,1.1962,1700073716,0x_tx_243
0x_norm_589,0x_norm_242,1.59,1700021934,0x_tx_244
0x_norm_699,0x_norm_20,0.4043,1700072925,0x_tx_245
0x_norm_500,0x_norm_963,3.8786,1700033110,0x_tx_246
0x_norm_192,0x_norm_14,2.4922,1700028906,0x_tx_247
0x_norm_209,0x_norm_143,4.6255,1700089069,0x_tx_248
0x_norm_262,0x_norm_871,4.5745,1700000347,0x_tx_249
0x_norm_14,0x_norm_205,4.2196,1700076826,0x_tx_250
0x_norm_938,0x_norm_194,0.664,1700024627,0x_tx_251
0x_norm_578,0x_norm_491,2.2312,1700079236,0x_tx_252
0x_norm_74,0x_norm_818,0.1658,1700026667,0x_tx_253
0x_norm_584,0x_norm_179,4.0467,1700000429,0x_tx_254
0x_norm_204,0x_norm_985,3.7929,1700004877,0x_tx_255
0x_norm_850,0x_norm_87,0.6168,1700076115,0x_tx_256
0x_norm_20,0x_norm_698,1.5043,1700073771,0x_tx_257
0x_norm_656,0x_norm_901,0.8493,1700081738,0x_tx_258
0x_norm_613,0x_norm_977,2.707,1700038595,0x_tx_259
0x_norm_376,0x_norm_785,4.2284,1700064579,0x_tx_260
0x_norm_948,0x_norm_790,3.4044,1700071239,0x_tx_261
0x_norm_268,0x_norm_978,1.163,1700016449,0x_tx_262
0x_norm_897,0x_norm_424,4.6491,1700078181,0x_tx_263
0x_norm_376,0x_norm_893,4.0891,1700010889,0x_tx_264
0x_norm_942,0x_norm_981,2.1012,1700039815,0x_tx_265
0x_norm_988,0x_norm_318,4.0452,1700048123,0x_tx_266
0x_norm_918,0x_norm_757,1.4723,1700017042,0x_tx_267
0x_norm_265,0x_norm_538,3.4106,1700023381,0x_tx_268
0x_norm_536,0x_norm_289,1.7735,1700086621,0x_tx_269
0x_norm_173,0x_norm_976,1.9962,1700079679,0x_tx_270
0x_norm_87,0x_norm_55,0.9496,1700069574,0x_tx_271
0x_norm_13,0x_norm_549,2.602,1700076775,0x_tx_272
0x_norm_734,0x_norm_161,3.9151,1700053234,0x_tx_273
0x_norm_194,0x_norm_394,1.4821,1700019509,0x_tx_274
0x_norm_463,0x_norm_909,4.3175,1700011623,0x_tx_275
0x_norm_462,0x_norm_97,3.4098,1700077714,0x_tx_276
0x_norm_802,0x_norm_886,2.0541,1700045795,0x_tx_277
0x_norm_341,0x_norm_344,1.942,1700094593,0x_tx_278
0x_norm_965,0x_norm_191,2.5987,1700014672,0x_tx_279
0x_norm_918,0x_norm_673,0.758,1700046856,0x_tx_280
0x_norm_625,0x_norm_495,1.6495,1700038456,0x_tx_281
0x_norm_137,0x_norm_433,4.8993,1700057197,0x_tx_282
0x_norm_765,0x_norm_53,0.8904,1700095632,0x_tx_283
0x_norm_542,0x_norm_103,1.5418,1700042417,0x_tx_284
0x_norm_422,0x_norm_484,4.0199,1700011609,0x_tx_285
0x_norm_994,0x_norm_924,0.1919,1700037591,0x_tx_286
0x_norm_604,0x_norm_778,2.9115,1700003444,0x_tx_287
0x_norm_955,0x_norm_701,2.4379,1700072683,0x_tx_288
0x_norm_659,0x_norm_159,0.8948,1700091115,0x_tx_289
0x_norm_690,0x_norm_381,1.2887,1700025059,0x_tx_290
0x_norm_221,0x_norm_627,4.0167,1700080440,0x_tx_291
0x_norm_57,0x_norm_880,0.2094,1700070630,0x_tx_292
0x_norm_683,0x_norm_224,3.4161,1700032927,0x_tx_293
0x_norm_430,0x_norm_892,0.7724,1700023690,0x_tx_294
0x_norm_649,0x_norm_148,3.7895,1700043583,0x_tx_295
0x_norm_959,0x_norm_32,2.0008,1700078505,0x_tx_296
0x_norm_161,0x_norm_433,4.7092,1700061613,0x_tx_297
0x_norm_313,0x_norm_579,1.854,1700019966,0x_tx_298
0x_norm_586,0x_norm_533,1.8036,1700073602,0x_tx_299
0x_norm_363,0x_norm_839,3.6081,1700042831,0x_tx_300
0x_norm_762,0x_norm_209,1.8288,1700087890,0x_tx_301
0x_norm_738,0x_norm_403,4.9349,1700075008,0x_tx_302
0x_norm_807,0x_norm_260,4.4152,1700071561,0x_tx_303
0x_norm_389,0x_norm_726,4.5509,1700099432,0x_tx_304
0x_norm_713,0x_norm_980,2.2398,1700069308,0x_tx_305
0x_norm_335,0x_norm_192,3.8737,1700010122,0x_tx_306
0x_norm_675,0x_norm_888,3.0695,1700026704,0x_tx_307
0x_norm_181,0x_norm_462,0.6988,1700054118,0x_tx_308
0x_norm_645,0x_norm_117,2.9838,1700026072,0x_tx_309
0x_norm_797,0x_norm_328,3.5575,1700033004,0x_tx_310
0x_norm_244,0x_norm_681,3.7724,1700023669,0x_tx_311
0x_norm_517,0x_norm_989,0.1136,1700039215,0x_tx_312
0x_norm_532,0x_norm_670,1.0755,1700054419,0x_tx_313
0x_norm_417,0x_norm_684,0.7602,1700053781,0x_tx_314
0x_norm_331,0x_norm_239,1.7273,1700025133,0x_tx_315
0x_norm_727,0x_norm_673,0.5196,1700060063,0x_tx_316
0x_norm_625,0x_norm_210,1.8085,1700032607,0x_tx_317
0x_norm_383,0x_norm_964,0.9377,1700087256,0x_tx_318
0x_norm_700,0x_norm_320,3.3746,1700095370,0x_tx_319
0x_norm_443,0x_norm_686,3.8717,1700060721,0x_tx_320
0x_norm_907,0x_norm_7,3.4112,1700089020,0x_tx_321
0x_norm_852,0x_norm_41,0.5945,1700064077,0x_tx_322
0x_norm_871,0x_norm_912,1.0987,1700025810,0x_tx_323
0x_norm_12,0x_norm_253,1.9373,1700037544,0x_tx_324
0x_norm_349,0x_norm_526,2.3074,1700033086,0x_tx_325
0x_norm_19,0x_norm_444,1.9342,1700064553,0x_tx_326
0x_norm_625,0x_norm_779,1.1301,1700031554,0x_tx_327
0x_norm_347,0x_norm_967,2.8297,1700052927,0x_tx_328
0x_norm_808,0x_norm_89,4.6633,1700007745,0x_tx_329
0x_norm_944,0x_norm_429,3.1522,1700093314,0x_tx_330
0x_norm_580,0x_norm_511,2.3741,1700062733,0x_tx_331
0x_norm_752,0x_norm_262,1.4902,1700081129,0x_tx_332
0x_norm_629,0x_norm_350,0.3649,1700088773,0x_tx_333
0x_norm_114,0x_norm_949,3.3795,1700001920,0x_tx_334
0x_norm_52,0x_norm_346,2.0574,1700011540,0x_tx_335
0x_norm_140,0x_norm_975,4.499,1700050441,0x_tx_336
0x_norm_448,0x_norm_660,4.8434,1700023097,0x_tx_337
0x_norm_871,0x_norm_625,2.6893,1700098778,0x_tx_338
0x_norm_980,0x_norm_44,1.8253,1700054875,0x_tx_339
0x_norm_43,0x_norm_678,3.3773,1700060450,0x_tx_340
0x_norm_37,0x_norm_167,4.2161,1700003083,0x_tx_341
0x_norm_283,0x_norm_620,0.8113,1700079323,0x_tx_342
0x_norm_691,0x_norm_290,3.0661,1700058620,0x_tx_343
0x_norm_378,0x_norm_95,2.3251,1700026751,0x_tx_344
0x_norm_993,0x_norm_488,1.6134,1700070139,0x_tx_345
0x_norm_807,0x_norm_952,4.7899,1700083917,0x_tx_346
0x_norm_714,0x_norm_475,2.7574,1700024620,0x_tx_347
0x_norm_441,0x_norm_554,4.2195,1700075719,0x_tx_348
0x_norm_673,0x_norm_459,3.2334,1700042844,0x_tx_349
0x_norm_886,0x_norm_703,3.5741,1700025671,0x_tx_350
0x_norm_593,0x_norm_337,0.7198,1700060436,0x_tx_351
0x_norm_399,0x_norm_527,0.9608,1700080902,0x_tx_352
0x_norm_410,0x_norm_847,0.9953,1700001867,0x_tx_353
0x_norm_831,0x_norm_787,1.4338,1700014819,0x_tx_354
0x_norm_337,0x_norm_523,1.2872,1700049344,0x_tx_355
0x_norm_546,0x_norm_537,4.0585,1700053293,0x_tx_356
0x_norm_454,0x_norm_197,0.5029,1700034660,0x_tx_357
0x_norm_510,0x_norm_260,2.2952,1700034825,0x_tx_358
0x_norm_616,0x_norm_863,2.1077,1700016342,0x_tx_359
0x_norm_247,0x_norm_540,4.3051,1700041768,0x_tx_360
0x_norm_757,0x_norm_645,2.5708,1700037083,0x_tx_361
0x_norm_260,0x_norm_617,1.5091,1700022629,0x_tx_362
0x_norm_916,0x_norm_361,4.2754,1700093808,0x_tx_363
0x_norm_425,0x_norm_732,2.3618,1700051185,0x_tx_364
0x_norm_264,0x_norm_627,0.3686,1700001794,0x_tx_365
0x_norm_881,0x_norm_770,3.6621,1700010499,0x_tx_366
0x_norm_801,0x_norm_721,2.4229,1700019495,0x_tx_367
0x_norm_113,0x_norm_396,2.2854,1700045025,0x_tx_368
0x_norm_685,0x_norm_135,3.0704,1700049708,0x_tx_369
0x_norm_288,0x_norm_40,1.2968,1700081148,0x_tx_370
0x_norm_409,0x_norm_253,1.7955,1700018721,0x_tx_371
0x_norm_552,0x_norm_42,1.9724,1700041722,0x_tx_372
0x_norm_303,0x_norm_842,3.5828,1700036045,0x_tx_373
0x_norm_212,0x_norm_522,1.03,1700064302,0x_tx_374
0x_norm_135,0x_norm_381,2.1929,1700024720,0x_tx_375
0x_norm_875,0x_norm_766,1.3686,1700087207,0x_tx_376
0x_norm_524,0x_norm_436,0.1111,1700045344,0x_tx_377
0x_norm_43,0x_norm_377,4.1421,1700050742,0x_tx_378
0x_norm_918,0x_norm_864,3.6983,1700000860,0x_tx_379
0x_norm_716,0x_norm_418,3.5038,1700008547,0x_tx_380
0x_norm_882,0x_norm_528,3.7646,1700090169,0x_tx_381
0x_norm_539,0x_norm_728,4.5392,1700037165,0x_tx_382
0x_norm_881,0x_norm_854,0.6747,1700048173,0x_tx_383
0x_norm_360,0x_norm_770,1.894,1700027103,0x_tx_384
0x_norm_316,0x_norm_789,4.1182,1700000873,0x_tx_385
0x_norm_688,0x_norm_58,2.6534,1700024507,0x_tx_386
0x_norm_711,0x_norm_159,2.3329,1700027107,0x_tx_387
0x_norm_652,0x_norm_75,0.3383,1700061391,0x_tx_388
0x_norm_898,0x_norm_884,1.2606,1700089603,0x_tx_389
0x_norm_636,0x_norm_771,4.4666,1700060731,0x_tx_390
0x_norm_886,0x_norm_115,3.7048,1700001181,0x_tx_391
0x_norm_399,0x_norm_660,0.7103,1700029920,0x_tx_392
0x_norm_61,0x_norm_330,4.9379,1700087609,0x_tx_393
0x_norm_59,0x_norm_449,4.5046,1700010224,0x_tx_394
0x_norm_817,0x_norm_733,1.2869,1700002723,0x_tx_395
0x_norm_802,0x_norm_532,4.8322,1700058695,0x_tx_396
0x_norm_871,0x_norm_487,2.502,1700009803,0x_tx_397
0x_norm_991,0x_norm_606,1.1683,1700061340,0x_tx_398
0x_norm_804,0x_norm_7,4.9348,1700079213,0x_tx_399
0x_norm_630,0x_norm_584,3.4556,1700040436,0x_tx_400
0x_norm_100,0x_norm_934,2.5555,1700046163,0x_tx_401
0x_norm_678,0x_norm_353,2.6257,1700051679,0x_tx_402
0x_norm_225,0x_norm_340,0.8793,1700091503,0x_tx_403
0x_norm_706,0x_norm_437,0.81,1700026488,0x_tx_404
0x_norm_329,0x_norm_600,0.7107,1700023961,0x_tx_405
0x_norm_75,0x_norm_398,4.8669,1700098104,0x_tx_406
0x_norm_872,0x_norm_813,1.8253,1700056279,0x_tx_407
0x_norm_421,0x_norm_479,4.2682,1700087729,0x_tx_408
0x_norm_536,0x_norm_200,2.39,1700006450,0x_tx_409
0x_norm_171,0x_norm_862,1.5522,1700087062,0x_tx_410
