Index,Address,FLAG,AvgMinBetweenSent,AvgMinBetweenReceived,TimeDiff,SentTnx,ReceivedTnx
31,32,0x0038ab9bf479faa2997522b3cf9492153ea6b33f0,3.33,51068.8,561790,10,11
32,33,0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d0,1128.56,0,2257.12,2,1
33,34,0x003c5ebfa5cdb3d73bad42bb07db823f6c77a2360,2152.95,680.22,22889.9,10,2
34,35,0x003d8b1e6723960d60367a719fe65e08643a2a800,0,648.26,449889,0,694
35,36,0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc0,45.91,58.88,450107,5970,2989
36,37,0x004534ebd59b0b094da701dbfd952ef6054701280,0,0,4.87,1,1
37,38,0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b350,1067.84,128.81,636163,68,4375
38,39,0x00462f4a169c1dc0b9dc428aa37d394c8abf12660,1051.87,85496.6,345142,3,4
39,40,0x00472c1e4275230354dbe5007a5976053f12610a0,2.12,0.92,21206.9,9996,4
40,41,0x004853f00fab90ab60cf1e609b0b61494b90164c0,17441,1245.91,160707,9,3
41,42,0x004e1c2a12ac1d0b70907c702892f397a4769bfb0,45561.4,26284.5,802574,13,8
42,43,0x004f1cea50b057ad8b6f445e128edbdc9b48902b0,379.78,56424.6,339687,3,6
43,44,0x005073a74dd37889bebbf9de7550dea7666f625b0,1478.05,51541.3,355017,33,6
44,45,0x005457078e3c355023433874edffc8b2548813340,164.22,0,328.45,2,1
45,46,0x00595d5ec3bb583428a0304b2940a70d7f553aef0,1790.44,450.56,13446,6,6
46,47,0x0059782ecd69fb5413c5e1a98b40c28dff0611620,803.95,112925,340384,2,3
47,48,0x005b98bb53be9d5789d27aa1c69ec8a789eff9c10,18649.4,15420.3,266825,11,4
48,49,0x005cb96b96c8fe801f89500df6ee38dc5fa0081f0,65.85,32.24,204236,2217,1807
49,50,0x005d3bffd33b1a012279d25d30f75133584404db0,181.7,56819.7,286279,12,5
50,51,0x006482de8230af0f8e2918a439c7826fe8642a430,23359.7,27049.3,1169230,35,13
51,52,0x006743c8992ca6d54c23fa3a745a4781b3817f0c0,20827.9,0,186707,8,1
52,53,0x0067e167caf808eaa6f642d9232e54ff7bb47c070,4183.18,1470.01,962957,181,140
53,54,0x006aaaff2ff3358bc8453febaba4e236b028df800,1969.46,288.59,97420,48,10
54,55,0x007174732705604bbbf77038332dc52fd5a5000c0,76.32,74.96,754217,3424,6576
55,56,0x0071763e7e796eeb4c32f083aa4a3ac2f33bf5c00,26.01,82.8,652.87,6,6
56,57,0x0071c78d72b78818b0d507c114674a7ce6bc4f180,8174.66,3.43,24534.3,3,3
57,58,0x00733965a4f189034c4cd0e7d38c877a34ba0b630,628.48,672.28,4486.98,5,2
58,59,0x00760b09a77e7a4f6ea7e7fdf17f93f8d898c8700,0,0,2.5,1,1
59,60,0x00761aebf8420f0325f7d3a9161a8bb6a96e550b0,0,0,8873.97,1,1
60,61,0x007a010f85605b7f9ecd0e26a7cfa3987bb3e43f0,22.94,14237.5,242427,17,17
61,62,0x007bb0518b03f1a8c00e9bb545640800d1e914440,7750.02,59605.4,531093,7,8
62,63,0x007cafba4edd0e25a664530e3cac0ffadb101fd80,621.07,5012.75,93911.6,14,17
63,64,0x0080214c803a073c18aaadd7b99cfd08c3945b090,13243.1,38530.8,414518,9,8
64,65,0x0080359f18daa3f2906e347a589ffd49c07c62580,5815.7,845.41,1040169,30,1024
65,66,0x0083704ad2f3e9f58e71593459462875255b7bd20,1905.13,728.9,240610,124,6
66,67,0x00893fa05c19ce3895d0d5577db0ddb02d5cbd470,24.63,3319.39,10032.1,3,3
67,68,0x0095e1a57555e5d5e9ee041bc5953d1c37729cdc0,59.56,24076.6,120621,4,5
68,69,0x009663d80363fa044763ef5331280081c95c94be0,0,0,28803.4,1,1
69,70,0x009f93582e0c195ac9d3f2b9c1f31cf44e2e95610,56814.9,62086.2,294617,3,2
70,71,0x00a4862d4407296f92005eff2f51fa5cbb3c60770,2.23,0,8.92,4,2
71,72,0x00a527d60d31b337d571acd17dca1720036363560,52.48,287.13,9299.17,24,28
72,73,0x00a742825749d9a1b3e2455362ac4e81dc01162c0,1466.39,44699.6,321695,6,7
73,74,0x00a87bd6b716f1a50504b8eff2d416de0690070e0,25905.1,1129.25,161077,6,5
74,75,0x00adb936b9636ccc4211533c7f1a0d2c53466b850,3834.85,2945.2,620113,121,53
75,76,0x00ae0c1fd293038c2b24a715e6fabacda6012b550,3880.52,1645.59,101238,21,12
76,77,0x00af29056355cbe37df9724436eef327f5f881570,21466.8,20051.3,674199,23,9
77,78,0x00bd1bba3519746a5b7d0bede063f14d48dfdf2b0,1904.23,4621.92,72065,16,9
78,79,0x00bd9fd57c423a1b1c969823d409156d90974d770,248.61,17068.1,611682,1156,19
79,80,0x00bf8ef866b3d8139c982961f6850fadc17f1d480,10154.2,5026.86,1009091,87,25
80,81,0x00bfc8d9cbcfc8601db95cded379ef7a4a5e0f5e0,674.61,221,11677.7,16,4
81,82,0x00c2abd0ab9fc13fbc8baac19dc30aec31704d4e0,3517.86,7188.55,381840,49,30
82,83,0x00c316e5099530e7af8e5bfade517b395acf86390,20.41,0,102.07,5,1
83,84,0x00c481dd22fba34f7dac2d46f0c1172c7abb9f0e0,0,8831.65,291445,0,33
84,85,0x00c6b386f92e1841c3a9dde2bf97a8950f0b0c310,244.78,169.09,16284.2,61,8
85,86,0x00c8a33b90a749f7433e08e5d4c7034e405a94b40,0,0,169.87,1,1
86,87,0x00ca022d429d853c3f28070b410b13bc4438926b0,0,0,2250.73,1,1
87,88,0x00cb28b1d4437357fdb57967e21be18c415ca05e0,408.32,170322,341869,3,2
88,89,0x00cb985681dd0cf13cff257a7324d97ea1e3ff320,5801.32,3041.25,614762,85,40
89,90,0x00cbdec4dd1b322810683c0e977d4fa237fecf7e0,3.6,0,10.8,3,2
90,91,0x00cd7d76d3e93819c19fd7296386b816234b489e0,0,0,7.53,1,1
91,92,0x00ce20fbdedc38fb559728265edbb26b63fbb3770,13.67,40512.3,688942,17,17
92,93,0x00cfdefb1e800e4743288734adc727fae6659f740,193,0,772.02,4,1
93,94,0x00d4a560da94790c8d508a7edda6465d7a3e9a490,20981.2,121771,596108,11,3
94,95,0x00d8a10e21f443758240eed09897cef08314618d0,129.61,26178.7,288354,3,11
95,96,0x00da8417b2c53b1fac15fafddf9854285959e9b60,0,0,31.28,1,1
96,97,0x00df7c16597385f31dfc87d1e103eaab28fc0f8d0,5.88,0.42,18.47,3,2
97,98,0x00e40876d147fdc499afa3f5a49cf6fe6256f1960,21.65,0,64.95,3,1
98,99,0x00e87b69cf3686e028f96d14cd79ec30983e0f530,31239.3,984.92,251884,8,2
99,100,0x00eb6923331d35ba68b9e36ff99d0c035ffed9e50,997.32,84555.4,342211,4,4
100,101,0x00f166114c211b7e71e09bfd5d6ffee8716bc0cb0,9.02,12.37,952.85,59,34
101,102,0x00f3c39b641a3533b95dd30b4f5b3a87ba9044ca0,3.62,0,10.87,3,2
102,103,0x00f8513a3819c085ba1d3cd84a15c5df45b7ee350,15.48,0,46.45,3,1
103,104,0x00f8de11eada0ce48200cd7f2214082954a9fe440,63819.2,336.67,511227,8,2
104,105,0x010c41f9ada72d7993973ee274c6cc93a309f8050,161.67,0.04,323.42,2,2
105,106,0x011b1cd5eaebc4d52bd2a6c928d45d93af642a580,5.05,0,20.18,4,2
106,107,0x011bed5908623f6adfcd54872ed88e0dc713a1bf0,157.32,0,314.65,2,1
107,108,0x0120a41636716d5717e92a2a960580a0961df73f0,36.98,0,73.97,2,1
108,109,0x012dbb1d6e6aaae7a0bf5f610a5fb44e308bb4330,3.21,0.38,10.38,3,2
109,110,0x012ef110b256b0e6b80aea1478d74b1b4a1eabb90,108.58,0.82,327.37,3,2
110,111,0x01390fbe18c3c5ae9f91b13ade67d19bce75c5e10,0,2336.51,228978,0,98
111,112,0x0155a63bc4cb378cb9b4dc10c8e777943bba9c2a0,26.4,620.61,138977,163,217
112,113,0x0160cf072f092a70e8def0537b8329350282a8d40,3500.97,14465.7,816621,6,55
113,114,0x016cd40242a3b50902c84088092ef87c85d782b30,2809.83,3186.72,376481,58,67
114,115,0x016d12db5620e094868f95b9c6fd2057032b74460,19121.4,11.04,267722,14,2
115,116,0x016e0ddc9631f662539fb1882458e5df007915650,1396.24,1470.58,1150336,213,580
116,117,0x016f855e1d3a7737f7da894b1dd6e86a3353225d0,30200.2,109067,617469,6,4
117,118,0x01716102b6ea467289897effc84cf136bd0b6c320,0,1426.21,226767,0,159
118,119,0x01889bfb1bd897ff4f23cb25f9dde7b3a012dbca0,0,0,10.93,1,1
119,120,0x018b9224ee3f8f362f553835d27da391fc5af9d90,24.47,0,73.42,3,2
120,121,0x019444358934627777f19f0cc121f5fc00e7bab80,1449.95,556.53,520700,191,438
121,122,0x01969235b1145fc6e8b1efab8ddbe56cfe313f3f0,5.13,3733.57,127116,34,34
122,123,0x01a35a131f90dd33dec9a0995aaa60720c0469380,0,27224.3,353915,0,13
123,124,0x01a9e95ef766394893dbfb824c66c91b301b913d0,24.86,0.23,75.03,3,2
124,125,0x01ad2af80301bcd6b5bd737699a6a7b51a24152a0,20.87,0,62.6,3,1
125,126,0x01bf959b281ac74e7fb3b98c880dbe88bab2e2a40,6,37680.1,301483,7,8
126,127,0x01cb670a5b57ddf7fa27b455ba2d9357f1dec6b00,155.16,0,310.32,2,1
127,128,0x01d41e16362b141332db90f69785dbe58f0dc4ee0,13.6,0,40.8,3,1
128,129,0x01df8ecad36d5eae229e6f5ae784428a9191c6ee0,364.17,230.02,376486,682,557
129,130,0x01f6c17b828f211909453550ac925b3a19a583d70,1.97,1332.65,2669.23,2,2
130,131,0x01f70159be7361ccfcfe85bd4bbffe63ec00e2140,8197.19,3055.47,946932,98,47
131,132,0x01fd68c62d8b18f5f01f184656b0b8de18ccb7aa0,0,0,13.88,1,1
132,133,0x0208764c8e34d0f980677f10867444f4cb27825c0,1.97,0,5.9,3,2
133,134,0x020aaf9192743375b50ab13976aa8e86d50852f50,161.06,0.63,323.38,2,2
134,135,0x020d6af0b51290d19e73a053ca33fa42da3a18fd0,5.95,123984,743941,6,6
135,136,0x020d818ebb9f1bd587acae00a48b93424d37bb840,93612.1,10060.6,992074,2,80
136,137,0x020de3ebd3560b4e3cec1a8b34a3f2dff5e31f880,5.75,8482.58,152790,18,18
137,138,0x021201236965565462cd458df7d70f737d63d4d60,5.66,16246.2,178771,11,11
138,139,0x021da14749518f5d036a1891a063d2ab5db1b7330,72100,10243.1,1019245,13,8
139,140,0x02298b9f2517b0dc60929c53a69dea884494a32b0,163.02,0.94,327.92,2,2
140,141,0x022cbf4576d9c1c47836962c2d1085f0ff9177fc0,162.38,0.63,326.03,2,2
141,142,0x023096bf0b4d933256f98b85b648586e751052770,132552,47104,936622,6,3
142,143,0x0236e5eae1708bfab9a699e8268e7521b0e6b95e0,0,0,948.73,1,1
143,144,0x0241899d2e42ca0fbf46d1a75ef429c7e061cded0,0,19247.5,250218,0,13
144,145,0x0244d7e1ffe01940b1ffcebca3f09efab13fe6640,159.83,0.92,321.5,2,2
145,146,0x02459d2ea9a008342d8685dae79d213f14a87d430,22.05,21.34,232150,8901,7835
146,147,0x02494bfc78c74a5aa1c5b7b92757f9f37b2dcc5f0,6736.68,1019.6,182217,16,73
147,148,0x024e8f301490466665e2402840f44881690bdb570,17363.4,3975.35,77404.4,4,2
148,149,0x024f443f33e173e7a4dee5bc48c2132862f4a5c70,0,0,2259.65,1,1
149,150,0x02524995562b26980f0fa0d9e34ab1dc0d5e22830,160.19,0.15,320.68,2,2
150,151,0x025aaf76b2157cadc814a145afb6d869753e73ff0,3.54,3346.38,6699.85,2,2
151,152,0x025ba18cb327c8d968470936ba8f340a47fd6a430,0,4097.93,192603,0,47
152,153,0x02605b528db3667cd34d3ca2f95b463ffcdab3a50,152.67,0,305.33,2,1
153,154,0x02618fd3c75554000c4a1bd2da6df06305c286350,0,0,20.93,1,1
154,155,0x026c1f10245d9f5950e4a4efbb97c97b5419ff2d0,22.91,0,68.72,3,1
155,156,0x026cb4a26bffb77427d6c2a8e5fd0995bff096880,6.38,2935.83,205942,68,70
156,157,0x026ee796ed70271cb22f3a619963b2d6dc46129c0,0,0,1.32,1,1
157,158,0x027421c8a2b34992cf191496dca553766597f78a0,162.63,0.43,326.13,2,2
158,159,0x027beefcbad782faf69fad12dee97ed894c685490,71.83,27.81,511632,5304,4698
159,160,0x02819d258d099eafc2e1afbee0ec126b219fb0ec0,3.59,0,10.78,3,2
160,161,0x02825fb4eb4cffaa181ccd5b2208a9d2d7c620130,26.18,20470.4,81986.4,4,4
161,162,0x0286f95399e27692f161ed91968ea43c47023a3e0,10.53,2020.11,24336.1,9,12
162,163,0x028ffe3d16df8eb97df443dd37478a9f0dd130770,159.52,0,319.03,2,1
163,164,0x02959ba85385b49fae65acfa7b90f79427b9c2eb0,2411.88,84822,365819,11,4
164,165,0x029798d4c234549b24dcfe12fb03ac50aa1b453e0,3827.27,1074.42,1921037,64,1560
165,166,0x029dca74053990795945b01cccc987524706eb200,22.77,0,68.3,3,1
166,167,0x02a70f1f4449443fa36c14388479488d460007d70,484.97,13360.1,237790,22,17
167,168,0x02b346a34e1559886e6ca1631cb74d78954651970,16472.7,8727.64,915822,45,20
168,169,0x02bc7852a518c506e2bf23c952ec9f341f2f2e0e0,0,1995.75,319321,0,160
169,170,0x02bf92165342a788b50e8b9de1731162701923280,1.88,0,5.65,3,2
170,171,0x02c68e3de38b00f958a53bd9182d09120312b2a20,367.75,5872.92,868228,1259,69
171,172,0x02d11dcf702df6b41d0b09acf7f9589000f99d990,0,0,14.38,1,1
172,173,0x02d3e49a4aaa3704f7af38f7d91d47aa7ffeba330,5487.5,22466.4,705883,14,28
173,174,0x02dad75eacf674939e61af034c2095b512f2af510,2516.11,10216,306025,12,27
174,175,0x02ee08c4e1c0e17a658fb42bd379bad9db48788e0,0,44163.4,88326.9,0,2
175,176,0x02fb09a6d1ef7a8f3d131130695531af5393ef4a0,0,0,253.25,1,1
176,177,0x03014fd1cfcb9dbc4e8e2237638bb4c639d7babf0,163.85,0,327.7,2,1
177,178,0x030174efb82f744929c53c4a14ce4c8c0625d8ab0,0,0,5.95,1,1
178,179,0x0303dc78685fc446871d568c6e86a9547fb1d2c70,1.56,0,4.68,3,2
179,180,0x0304421f7d097871bde3524962f342d7ccadb0dd0,0,0,259479,1,1
180,181,0x030459bed9ba3b8b2a9398f963670aa544450d0e0,0,2762.25,209931,0,76
181,182,0x03081809e0cf5371fcbe2f4d12fce8b7204819f10,0,3801.67,319340,0,84
182,183,0x0316412031b6dc9ef2bc7e728fba71f9f8f5e4f10,161.61,0.94,325.1,2,2
183,184,0x0318f182677d9d6c297542e4699ce582f86ef0b40,0,11594.2,208696,0,18
184,185,0x03192bc9a49d441f0b228434ebbc9a5d54c1044d0,7.4,1945.73,80078.3,41,41
185,186,0x0324764f3cd277421cd46a0f48ee29bfc1237f600,136.47,482175,964897,4,2
186,187,0x0326b710d6eafc36349eca09d7a8871dbf7364570,0,6682.47,547962,0,82
187,188,0x033c872f24bb2b68deef057d1edfa662c8ca15e30,0,12143.5,291444,0,24
188,189,0x033d8961a1773ac9a47b2aa0fce76f18b17defa40,8691.1,4980.4,32323.4,2,3
189,190,0x033e08ee587a2b8a312d60a1b2dec218e3ff47e00,0,2405.98,283906,0,118
190,191,0x033fa9f2da90b2d86b80488a3aff89f94b825e9e0,0,1346.79,192591,0,143
191,192,0x034007f4b2c2b8b6fe6ee16e03452452e6d08aa90,18152,29228.1,273204,7,5
192,193,0x034344f6c73958d78b98fc96f3e6616fe1932a790,21.68,0,65.03,3,1
193,194,0x0346e666fc6c24e7fe06529fe5b854d99cdab58a0,1.35,0.68,5.4,3,2
194,195,0x0346f31d74b4116d09113f7597d9aabb2ac1c7e30,161.55,0.82,324.73,2,2
195,196,0x034c1ce9dc5d6ac73773e48b6fe2f50f76b53fea0,5.71,5707.63,17134.3,2,3
196,197,0x0352b41a8cc454109979e1073e4f5965e681084c0,0,0,5.8,1,1
197,198,0x036135c297ae0801c7a488e56aae98ce7f69b3950,0,0,39.47,1,1
198,199,0x036244d89950b3c6b39c24c801b557b77cf4a9cc0,4.81,0,19.25,4,2
199,200,0x0367d5f834a7e3b39f2b44650a67561f506859df0,103.49,0,310.48,3,1
200,201,0x0369781891dd06c9987d7dd74f7f7b44216c35c40,160.58,0,321.17,2,1
201,202,0x037017bcdddb206f35e0e0c7c6edc699c19b57af0,3070.03,35556.8,974379,51,23
202,203,0x037478bc69794a00324df3a4857c628016fde00f0,160.38,0.6,321.95,2,2
203,204,0x0374b6d63fc8bbfa401ed8549900fd02de86ea990,231.96,112126,1010987,8,9
204,205,0x0374f9963118cf1d074800388505a1aa09ffff010,6.29,0,18.87,3,2
205,206,0x0378630fc896e8e34162650c033a42afd885256d0,0,824.57,226757,0,275
206,207,0x03805dda8b08f71e0bda8faff59481868ab35a7d0,20437.4,47057.9,447735,15,3
207,208,0x038dbdd8d39c7ced6b4ff01eacd74efd35764f860,0,0,2257.95,1,1
208,209,0x038f5e93ac0983178bc928cf489f46fd07a50f890,6.44,76.03,412.35,5,5
209,210,0x03902904297b6db7d2c5e95e43e76aad4afb89280,15.95,0,63.8,4,1
210,211,0x03935c8e5f6aca2da0d946875b874b5deacf0c5d0,0,0,96.47,1,1
211,212,0x03986db5655d105969dde64832d382b88d8ba2fe0,0,3396.11,244520,0,72
212,213,0x03a187998ad07f7eddff4e27cf0e4454004ad9780,0.93,1748.94,111992,64,64
213,214,0x03ac0df2b606bf96384394aa710f407975fb143e0,0,2426.58,283910,0,117
214,215,0x03c0e9a2a106ebb0858bcf767613059edf72ef960,0,191,310192,0,1624
215,216,0x03ca8d38701a176c62d043f2a2be9ca6af77a5050,17.24,1420.14,293207,203,204
216,217,0x03d42acad7cdac001c80eb1443c24f18893eb2d00,3294.21,5448.4,1007931,129,107
217,218,0x03d4b51226235046f9af5aa50d69e2d61c4c42140,18.7,365.31,408109,1058,1063
218,219,0x03d6bc0026c612d582313b30cefbd4f0381cbc9c0,0,0,24.2,1,1
219,220,0x03eda81520e409e40ec09ae5b199c0a96a9f101d0,0,0,3.73,1,1
220,221,0x041a1a4ade976df5a4fc0f4915f888ab3615b10e0,9.49,11318.7,577698,47,51
221,222,0x0422b3d347377aedcff3fd4c54d14a44128185ad0,0,0,74.32,1,1
222,223,0x0427333d1b503d1e5813ec98b68644d5fe2d4fd40,159.96,0.6,321.12,2,2
223,224,0x042b7bad39d61ef7014dd399e1f23b328fd756970,3.23,0,9.68,3,2
224,225,0x04349ba34e04d2d1666e8ef68d79a34077781eb80,134.97,8427.96,898838,103,105
225,226,0x04368afcda1476656a26987c7818ee9215dadf8c0,0,0,0,0,1
226,227,0x043895203bdac0e76d9e8d0ec7c1059cebb487640,28424.7,23213.4,663716,16,9
227,228,0x043b05c7e524dbe75232ea656b13b885ff589a240,329.02,1898.84,95469.3,42,43
228,229,0x043d4ab5825162eff28f2edc17f7a0b1600eed320,0,3309.56,52953,0,16
229,230,0x043f2375429bca5598cb4bf6ab7568907607fb9e0,11.52,8965.07,314181,35,35
230,231,0x0440a7cd16bdb5218f10b73f1694c5b1731bb1f80,163.93,0,327.87,2,1
231,232,0x04480c82733b712484b04beac80b35becca09b110,22.18,0,66.55,3,1
232,233,0x044a53b66b24c65c6807bedced72e3f8f9c66b290,1363.42,1856.04,790629,34,401
233,234,0x0454e108e55ae3cb0fd4aec008ecf86b61c7bf6c0,0,0,10.03,0,1
234,235,0x0455681177ab7cb0f33657e5f67e835521aa2c7a0,0,6436.01,585677,0,91
235,236,0x04560b79a30f52167722db9a46f256c05e0c99210,0,781.62,1610.6,1,2
236,237,0x045aba14bce39ffd9bdf47c004f0fe83751101240,0,0,21.48,1,1
237,238,0x045f0a42c272a9f765b5e0a78c484ce37efe3ea50,131125,56578.4,658299,2,7
238,239,0x046af5bd2705fab727d45168ea50dc1034c118610,3037.03,12801.7,76156.4,4,5
239,240,0x04713ef7c2dd63d079caf3853f1759a1ab1bb70a0,0,1647.44,228994,0,139
240,241,0x04714428e4e534a3defadbc46bc4e46cc793ff9d0,27916.4,2700.56,189103,6,8
241,242,0x047e2e663d8706d0d64d3eb69866d841a9d4bdc60,0,4049.26,226758,0,56
242,243,0x0480f66a8e6c40b72d6ce78d1057d8d94eeecfcf0,0,5931.59,338101,0,57
243,244,0x0481eb2557fb2e6af54422c3453bacfe155e11240,5.22,0,15.67,3,2
244,245,0x049857ab4bb3cb796f29b15709317713cadb4ee70,0,0,3.73,1,1
245,246,0x049aca9570f192fbef3b70c5d4a92be0bf53ad8b0,0,0,14.03,1,1
246,247,0x049d7b114b2eb19b606251edb95d59aa3909c1570,23.86,0.49,72.55,3,2
247,248,0x04a3084aa73481e9cb04d0a7b0df3c896cb1b1e20,0,0,71.75,1,1
248,249,0x04a91c65105d159d25995682a8a21a0375321b020,0,0,330.62,1,1
249,250,0x04aec1e843907668fded23b6f8814ef5396082e70,0,0,598.23,1,1
250,251,0x04c5e7aed80f635a54ad5494b6fa0a2e33743e6f0,276.53,2096.14,203015,105,83
251,252,0x04c6570d3aaf10230fd87f73424352a77ba2bf460,166.16,0.21,332.73,2,2
252,253,0x04cb9baa9e5fdea5f7e8bae6c42133b0acbfbe470,0,0,2.8,1,1
253,254,0x04cec571a0758001a9d03533d54e643a9fa7dcbb0,2104.21,5422.52,17157.7,3,2
254,255,0x04e08107946d1e42d109e67695c43ca1e42638cd0,106.06,7808.66,791366,99,100
255,256,0x04e3a85ccc9f84c6672668ef0968321bcabdfa000,80.35,0.84,323.08,4,2
256,257,0x04f06845f36f380dae5152daa7c4db2b857c15dd0,165.27,0.7,331.93,2,2
257,258,0x04fceacbd91950a3f1e7f91b16476b609c83a7620,36.82,2261.81,55167.2,24,24
258,259,0x04ff2ba5884f8a52de19d0a76cb8f6f266754c6b0,2059.98,7971.34,575637,55,58
259,260,0x0505c3ba680f49a46ab500b8a39a8bd396d938750,0,7559.25,226777,0,30
260,261,0x050d63c4e59082049a33d5d3f6d4d2bbfb3317230,0,0,48.88,1,1
261,262,0x050ecb95bb0bc5a5ce7f0b8920b4c704d0e1fca70,23.84,0.18,71.9,3,2
262,263,0x050f6030f6c80387fd061c5f2bbb32f9a7648e800,0,0,1.58,1,1
263,264,0x0510156b8080e359f3ef29386634e0fefdd2495f0,18.32,0,54.97,3,1
264,265,0x051b7f66f9186e04333e105fbcb4af7cc21e8e070,0,8540.11,204963,0,24
265,266,0x051e395eefe31c8bd8d8546127ee8d6e0bfeec570,19815.2,106764,918000,14,6
266,267,0x0536806df512d6cdde913cf95c9886f65b1d34620,6.14,62.16,61584.9,9997,3
267,268,0x0540db24a0b7d9f1f70e915a1e4c4913cdd0e3e00,8521.89,7446.07,681582,66,16
268,269,0x05498d2e0ceae89926c2a0e476fc905f722600e50,23.55,0.44,71.53,3,2
269,270,0x054eba3784c06a358f4516643b2412dc8a1214080,0,0,0,0,1
270,271,0x0550b952a398cb1dda970e9e4d4d72d0a05182840,1.24,0.07,3.87,3,2
271,272,0x055de08e00c27d5bacd592fadda4e0e3cb4997530,32184.5,45861.6,417585,3,7
272,273,0x05643de9716f7fc02f301486f0ce960cdd5e5f4b0,4222.44,1244.43,68666.9,3,45
273,274,0x0569497f5a5c2f5fadeb01d2b63f83754c49ac3c0,157.73,0,315.47,2,1
274,275,0x0583c3c6f0d5f8c6f84b851700617d4e55bdc6490,26.52,0,53.03,2,1
275,276,0x0587a3525b5782ae7c13815a535cbf3927e237ff0,0,0,382.15,1,1
276,277,0x058a14f94ddc08dffea9d8013faa9ee4d0d05c0d0,161.55,0.63,324.37,2,2
277,278,0x058a99632be743ad9722c639b5aa707b0562653f0,0,0,12.82,1,1
278,279,0x0593e534443a3eb3b77a8b65dff01486e7993d290,1.12,0.07,3.52,3,2
279,280,0x0597b0cf9255f1ea775c4f1dbd64d8541f4c556b0,34782.5,52001,607485,7,7
280,281,0x0599b69fc510ee7ad786501631616e82715487370,0,0,2312.95,1,1
281,282,0x059c1a160eb12a884513f769d39d46b428ebc82d0,3.62,0,10.87,3,2
282,283,0x05a999ab99efa89852bf707173309573fae584110,0,3420.64,283913,0,83
283,284,0x05ac993b8ffb0bba70431edf96e339ababec91b50,0,0,5.8,1,1
284,285,0x05ba1b7e69662de5a4740d40b002e3ac166eac7c0,305.22,264489,794993,5,3
285,286,0x05bfe4897ef55b5b1dde1ab3ce4570d47025da7e0,1.03,12437.8,199021,16,16
286,287,0x05c9a130cdb3c900e63f9c5056b9b2252195f7410,39172.6,52599.2,341341,2,5
